상호명,지역(도),주소,영업시간,휴무일,연락처,주종,주력제품1,주력제품1 도수,주력제품2,주력제품2 도수,주력제품3,주력제품3 도수,여행지1(종류),여행지2(종류),여행지3(종류),철학,page
양촌양조장,충청도,충남 논산시 양촌면 매죽헌로1665번길 14-9,,,041-741-2011,"막걸리, 증류주",우렁이쌀손막걸리(탁주),,,,,,백제군사박물관,,,,https://yangchon.co.kr/
한산소곡주,충청도,충청남도 서천군 한산면 충절로 1118,10:00-17:00,"토, 일",041-951-0290,"약주, 증류주",불소곡주(증류주),,한산소곡주(증류주),,,,,,,1500년의 역사와 전통을 그대로,https://www.sogokju.co.kr/
문경주조,경상도,경상북도 문경시 동로면 노은1길 49-15 문경주조,09:00-18:00,"토, 일",054-552-8252,막걸리,문경오미자생막걸리(탁주),,문희(탁주),,,,,,,술 맛만 좋으면 손님은 끊이지 않는다,https://munheebrewery.modoo.at/
맹개술도가,경상도,경상북도 안동시 도산면 선성중앙길 32,10:00-18:00,매달5번째화,054-841-1105,증류주,,,,,,,,,,"오랜 역사와 전통을 가진 안동소주가 명절 선물용이 아닌
내가 나를 위해 직접 사서 마시는 맛과 멋이 있는 소주이기를 늘 바랐습니다.",https://3d.co.kr/mgsdg/#section01
솔송주,경상도,경상남도 함양군 지곡면 지곡창촌길 3,09:00-18:00,"토, 일",055-963-8992,증류주,담솔(증류주),,솔송주(약주),,,,개평한옥마을,,,"술에 대한 끊임없는 헌신과 열정으로 최고의 한 방울을 얻기 위해
노력하고 기다립니다.",https://m.solsongju.com/main/index.php
지리산운봉주조영농조합,전라도,전라북도 남원시 운봉읍 황산로 1018,,,063-634-0009,막걸리,,,,,,,,,,신선하고 전통의 깊은 맛이 살아있는 좋은 술로 보답 하겠습니다.,http://www.herbsul.com/
청산녹수,전라도,전라남도 장성군 장성읍 전고개로 240,09:00-17:30,"토, 일",061-393-4141,막걸리,,,,,,,,,,,https://smartstore.naver.com/bluegreenk/profile
추성고을,전라도,전라남도 담양군 용면 추령로 29,10:00-18:00,,061-383-3011,증류주,추성주(증류주),,대잎술(약주),,,,죽녹원,메타세콰이아길,,1천년 맥을 이어온 자랑스러운 우리 민족 전통주 추성주 입니다.,https://chusungju.co.kr/home
농업회사법인다도참주가,전라도,전라남도 나주시 다도면 신촌2길 9,,,061-337-3011,막걸리,,,,,,,,,,밝은 곳에 비추어 보여도 부끄럽지 않을 술,http://chamjuga.com/
제주샘주,제주도,제주도 제주시 애월읍 애원로 283,09:30-18:00,,064-799-4225,증류주,고소리술(증류주),,오메기술(약주),,,,,,,세월을 잇는 향기에 물들다,https://www.jejusaemju.co.kr/
